start_date;trunk;prefix;mobile;country;tariff;blocked;seconds_allowed;description;cli_a
2022-03-02 10:15:57.281132;WAVECREST;61408;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61409;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61417;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61418;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61419;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61427;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61428;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61429;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61437;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61438;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61439;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614444;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61447;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61448;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61455;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61456;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61457;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61458;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61459;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61467;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61473;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61474;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61475;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61476;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61477;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61487;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614880;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614881;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614882;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614883;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614884;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614885;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614886;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614887;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614889;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61490;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614910;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614911;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614912;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614913;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;614914;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61497;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61498;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61499;Y;AU;0.0161;N;Y;Australia - Mobile - Telstra;
2022-03-02 10:15:57.281132;WAVECREST;61404;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61405;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61406;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61410;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61414;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61415;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61416;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614202;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614203;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614204;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614205;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614206;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614207;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614208;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;614209;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61424;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
2022-03-02 10:15:57.281132;WAVECREST;61426;Y;AU;0.0201;N;Y;Australia - Mobile - Vodafone;
